task,task,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
Lookup Tools,!,,,,
Dependency parsing,Dependency parsing,,,,
Text Analytics,Text analytics,,,,
Part-of-speech tagging,Part-of-speech tagging,,,,
Dependency parsing,Dependency parsing,,,,
Tagging,Tagging,,,,
Machine translation,Machine translation,,,,
Tokenisation,Tokenisation,,,,
Annotation,Annotation,,,,
Named entity recognition,Named entity recognition,,,,
Lookup,Lookup,,,,
Computer-mediated communication,Computer-mediated communication,,,,
Text-to-speech,Text-to-speech,,,,
ASR,ASR,,,,
Search,Search,,,,
Speech recognition,Speech recognition,,,,
Universal dependencies,Universal dependencies,,,,
Word embeddings,Word embeddings,,,,
Grammar checking,Grammar checking,,,,
Spell checking,Spell checking,,,,
Corpus annotation,Corpus annotation,,,,
Grammar correction,Grammar correction,,,,
Spelling correction,Spelling correction,,,,
Information extraction,Information extraction,,,,
Automatic evaluation,Automatic evaluation,,,,
POS tagging,Part-of-speech tagging,,,,
